case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,validation_error,topology_violations
01_simple,7062,13440,186,186,1.5004582150140777,0.08807078603422269,484404,186,186,189,225.97265625,30c490d878f66f8e7273c40780170d185d2071443cfbe465f31be381c1a3d0bf,"[[-0.04, -0.25, 0.0], [10.04, 16.0, 6.17]]",,0
02_republicano,8764,16320,321,321,1.875250748009421,0.10100212704855949,732688,321,321,325,225.97265625,44a32be27d6ca588d84843aec3b1baf8497853a629b338d204a3e20b8aac6945,"[[-0.04, -0.92, 0.0], [12.04, 15.0, 7.970000000000001]]",,0
03_galeria,8060,14948,308,308,1.6473222710192204,0.09206439403351396,690564,308,308,312,225.97265625,8aa67123209eb1512beb57039a7e4c5115d83930c667461bc52621ba2f7443b8,"[[-0.04, -1.2000000000000002, 0.0], [11.04, 16.0, 7.17]]",,0
04_mixed,12464,23216,455,455,2.877206670003943,0.16718818800291047,1051764,455,455,459,225.97265625,f7be5c3a344580ae40069e3e67ef9be18226984c3cc17498286ce306b1ff4bb7,"[[-0.04, -1.0065657024968162, 0.0], [12.04, 18.0, 10.17]]",,0
05_setback,16304,30464,574,574,3.5734747599926777,0.18180889799259603,1350256,574,574,581,225.97265625,8a77795845d06456c7b53b5eb6600a14d989dc7bd1ac7e8a9afb767aff0c981c,"[[0.0, 0.0, -0.12], [12.0, 20.0, 11.77]]",,0
lot_1850,4658,8650,177,177,0.816903226019349,0.054605224984698,414240,177,177,181,225.97265625,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.42059999979443, 40.6551, 0.0], [33.16895876457854, 51.167676262170765, 6.775]]",Geometry outside cadastral envelope,1
lot_1851,12290,23784,226,226,3.285766139975749,0.10020569199696183,964788,226,226,232,225.97265625,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.47083101478059, 30.59269999969353, 0.0], [46.0766, 48.369539818887546, 12.902000000000001]]",Geometry outside cadastral envelope,0
lot_1849,23076,43930,597,597,5.938450679008383,0.263534541008994,1942884,597,597,614,225.97265625,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.9477874862113567, -9.2191, 0.0], [58.95150000029278, 55.54780352269812, 6.216]]",Geometry outside cadastral envelope,4
lot_2451,28458,50552,1682,1682,8.047406562021933,0.570827272022143,3066236,1682,1682,1686,227.3125,aaaf10f2107fe78460e043e94171b76e16929d194cebbf28947e3ef8a9c6b9d8,"[[31.43013656184248, 63.802566829506134, 0.0], [56.7102, 88.84591969409173, 11.966000000000001]]",Geometry outside cadastral envelope,1
lot_1843,21454,38838,1096,1096,6.059678299992811,0.4111019219853915,2208012,1096,1096,1102,243.578125,3c717190fbb665b653f0b7792cd5c0274ee409abf42e0247e2f3c50a562131db,"[[-24.791900000097776, 49.334406327462766, 0.0], [18.097520914777004, 92.56460626225505, 6.168]]",Geometry outside cadastral envelope,1
