case,old_triangles,new_triangles,reduction_pct,old_vertices,new_vertices,old_components,new_components,old_glb_bytes,new_glb_bytes,old_generation_s,new_generation_s,old_export_s,new_export_s,architecture_equal,old_topology_violations,new_topology_violations,iso_mask_iou,iso_rgb_mae,street_mask_iou,street_rgb_mae
01_simple,13440,3404,74.67,7062,2004,186,166,484404,197400,1.5004582150140777,0.3190705610322766,0.08807078603422269,0.04717779200291261,True,0,0,1.0,0.2514,1.0,0.5248
02_republicano,16320,4128,74.71,8764,2626,321,297,732688,369156,1.875250748009421,0.4133216599584557,0.10100212704855949,0.07551288796821609,True,0,0,1.0,0.5976,1.0,0.975
03_galeria,14948,3400,77.25,8060,2170,308,250,690564,313660,1.6473222710192204,0.39150153601076454,0.09206439403351396,0.07264231605222449,True,0,0,1.0,0.4223,1.0,1.3129
04_mixed,23216,5392,76.77,12464,3410,455,388,1051764,484088,2.877206670003943,0.857210480957292,0.16718818800291047,0.1763201070134528,True,0,0,0.999986,0.5132,1.0,0.6721
05_setback,30464,7852,74.23,16304,4776,574,467,1350256,612228,3.5734747599926777,0.7301191079895943,0.18180889799259603,0.11269220401300117,True,0,0,0.995819,0.8809,1.0,0.8329
lot_1850,8650,2656,69.29,4658,1688,177,190,414240,242872,0.816903226019349,0.2844060490024276,0.054605224984698,0.04889902001013979,True,1,0,0.999988,0.1773,1.0,0.1495
lot_1851,23784,5040,78.81,12290,3208,226,363,964788,450856,3.285766139975749,0.5683497869758867,0.10020569199696183,0.10852447897195816,True,0,0,0.999222,0.3036,0.98883,2.3422
lot_1849,43930,8736,80.11,23076,5538,597,628,1942884,781748,5.938450679008383,0.9600050069857389,0.263534541008994,0.1538820739951916,True,4,0,1.0,0.0333,1.0,0.0078
lot_2451,50552,16420,67.52,28458,10400,1682,1193,3066236,1523936,8.047406562021933,1.5916948100202717,0.570827272022143,0.31143266800791025,True,1,0,0.999746,0.5249,0.999531,0.7501
lot_1843,38838,11052,71.54,21454,6994,1096,802,2208012,1033644,6.059678299992811,1.025830018974375,0.4111019219853915,0.2160005689947866,True,1,0,0.999747,0.2242,1.0,0.1094
