case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,append_s
lot_1850,4658,8650,177,177,1.0677697000210173,0.06292840803507715,414240,177,177,181,214.91015625,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.42059999979443, 40.6551, 0.0], [33.16895876457854, 51.167676262170765, 6.775]]",0.01586053700884804
lot_1977,2572,4914,66,66,0.5195570040377788,0.031368549971375614,216808,66,66,70,214.91015625,2d6e682f4cfee07ba7975de2ff38f701abf6d34d2111fc842b8476d312ccdd59,"[[17.8895, 45.00975575507398, 0.0], [29.585049407076824, 57.2798, 3.468]]",0.021477026981301606
lot_1851,12290,23784,226,226,3.3146233879961073,0.09937003999948502,964788,226,226,232,214.91015625,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.47083101478059, 30.59269999969353, 0.0], [46.0766, 48.369539818887546, 12.902000000000001]]",0.04524394997861236
lot_1976,8706,15688,457,457,1.6743882090086117,0.1662718029692769,886188,457,457,462,214.91015625,3723fb5e6eb74fd00c74ba34fd115b6c945650f3adc05769baa4c331d2827f31,"[[31.596322035867598, 43.8425, 0.0], [46.58801690057289, 59.49591189964277, 6.634]]",0.07891213096445426
lot_1975,11654,21480,490,490,2.092189271003008,0.14223698404384777,953472,490,490,492,214.91015625,864433043d6eef9e2f5d5d37eeaa64719f88f045de338e172afd7d77012a0f80,"[[23.7019, 52.37473498133214, 0.0], [36.42918996955666, 66.40580328924023, 9.271]]",0.11263342399615794
lot_1831,8868,16200,405,405,1.8603245459962636,0.12171869800658897,880356,405,405,409,214.91015625,02ec3fc47cda0c344445741a489ec4d855b8318ced4767a2016a56685d5b0ca2,"[[11.20692427836201, 49.84249999983846, 0.0], [23.7019, 62.728716415069655, 9.292]]",0.13732395198894665
lot_1980,6154,11484,221,221,1.2369113480090164,0.10295886202948168,537144,221,221,225,214.91015625,dd6d9b0a61ffa507633c7436d5ffc940ca3611098b4d39625c095ad561cf0d6f,"[[39.3267, 38.0302, 0.0], [53.38622084889332, 53.119908500033596, 6.346]]",0.1586334949824959
lot_1973,3462,6420,138,138,0.6270673769759014,0.04811048100236803,316300,138,138,141,214.91015625,fca849ccce354e7849ea00662a07d85defb662c1189f2b4c536e22ad98a5d5f7,"[[17.625133617568377, 57.2798, 0.0], [30.99530886159269, 71.18330489320232, 3.522]]",0.18697956699179485
lot_1849,23076,43930,597,597,5.1915072470437735,0.224364678026177,1942884,597,597,614,214.91015625,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.9477874862113567, -9.2191, 0.0], [58.95150000029278, 55.54780352269812, 6.216]]",0.23604357603471726
lot_1832,12164,22904,377,377,3.0409169959602877,0.13034257403342053,1062960,377,377,382,214.91015625,6d10a0ca971ca7aa97e39d9d120f32c4979eab12429fdd81073a00e899cda3ef,"[[40.2642, 24.6553, 0.0], [60.792019105641984, 47.2664100010293, 9.68]]",0.27352847601287067
lot_1983,17512,33080,513,513,5.028221983986441,0.1840287339873612,1512296,513,513,519,214.91015625,89b3df9e6d8400df253945d11f22b8169fa81ed67d5f32c1b5b41d919c7e75ac,"[[-6.292065111329976, 19.2803, 0.0], [18.827, 41.21828970937992, 12.948]]",0.3028501530061476
lot_1984,13770,26428,291,291,4.8126448090188205,0.1093762600212358,1001116,291,291,295,214.91015625,a6c3738ba19b1bc069177eddf419e9a21212ea31c04238aa9f504c4be3f51db6,"[[47.17039999983115, 21.718, 0.0], [64.07781909468669, 40.76856381459638, 15.426]]",0.33508644002722576
lot_1989,5478,10566,108,108,1.1049772799597122,0.060697210021317005,450324,108,108,119,214.91015625,2fcbff31c27101b7fd50c74c479ef6900c57b29c951d59f33583e2051280ce0a,"[[-11.850466635701494, 11.46799999999892, 0.0], [17.9521, 34.69538793339662, 3.598]]",0.3677057330496609
lot_1987,20238,38380,567,567,4.900360502011608,0.21124553901609033,1533576,567,567,572,214.91015625,f8d61390c405475c1af7041f9fdca02769203d241b5a5903a6bcae539b54cd27,"[[50.57659999973674, 12.905499999884624, 0.0], [75.15582134058441, 37.81925033187078, 12.120000000000001]]",0.41097242798423395
lot_2000,14248,27264,335,335,3.5526971790241078,0.1210498979780823,1022676,335,335,339,214.91015625,7a0135f4129b1c672caafb35ca00b9b699a6ad54ef258dde1be1b3dcfc882a82,"[[-2.561010393781069, -2.724528143531071, 0.0], [15.4521, 16.15530000000108, 12.545]]",0.4158973000012338
lot_1993,8162,15232,288,288,1.9142115539871156,0.11583207902731374,712948,288,288,292,214.91015625,8dfc11c4b7c73bf8d9548e3544e36b8050e7262b65dbd3a79f567bfd9f355539,"[[-17.08138583036829, 14.280399999693266, 0.0], [-2.579, 28.388005337289993, 8.969]]",0.419757243944332
lot_1997,7490,13686,347,347,1.4447159150149673,0.11999247595667839,758964,347,347,352,214.91015625,1ebaece50625cb2c90456dd383952414c01f12d70d8ba7364e528343a67d548e,"[[-20.3308902793452, 2.7437060055373497, 0.0], [8.639600000313738, 22.590200461771463, 3.441]]",0.656603328010533
lot_2002,15092,28112,557,557,4.872493884002324,0.15875288198003545,1363324,557,557,561,214.91015625,4079f062567e29eb9d5db99bc5f1a638ec8169f9b54f03f7fe0449aabbf3c860,"[[4.196709731388785, -14.51347073206537, 0.0], [29.483100000154955, 10.343000000172706, 9.671000000000001]]",0.45622544398065656
lot_1992,4866,9320,114,114,0.8299848070018925,0.058974565006792545,362240,114,114,117,214.91015625,d1c586503f6e4673ed50097926c580dfddcb77ab62202d48ed4b436279a0bec8,"[[67.0451, 15.218099999720758, 0.0], [79.25012421516963, 28.25834785674505, 6.437]]",0.4433112780097872
lot_1999,16610,31268,527,527,3.302055375999771,0.16065711597912014,1277908,527,527,533,214.91015625,74165daa532f5c06a19f81b9493a03d22bf871d9b9923045031d5c8b8d6c9e12,"[[46.17049999970722, -16.506202967492094, 0.0], [83.61877451429494, 18.96800000027924, 6.598]]",0.578948216047138
lot_1995,11024,19838,587,587,2.098483372014016,0.16459663095884025,1119560,587,587,592,214.91015625,4d1accd4d479589f47a7a39d443242681e34d01e827294ab84118bb286f6144a,"[[71.3888, 4.539473592192581, 0.0], [90.58353235502784, 24.88451091965418, 6.0920000000000005]]",0.6924748250166886
lot_2005,13932,26444,382,382,3.702155405015219,0.1393519529956393,1189488,382,382,387,214.91015625,b98b8fab2b5acf0072d420e5910fe538408fbd6d46470594de14263866a844dd,"[[38.0768, -26.0330278292206, 0.0], [65.26227810063078, -0.031799999950145263, 9.013]]",0.7114001709851436
lot_2008,22472,41988,796,796,5.053341405990068,0.28720598202198744,1725812,796,796,800,214.91015625,64289ac24d08b2e655173614b6d6bfb32e530ab893fab16cfa6b557154b446f0,"[[17.808087879618732, -32.779926649085105, 0.0], [50.014200000067504, -1.8443, 8.981]]",0.7665209020487964
lot_2018,5322,9864,212,212,0.8005642509669997,0.0696103620575741,441252,212,212,214,223.0703125,30aafbc40f88e29a01775ec4ea5b76607d6b09eed2e15288b8d3e7047982dc26,"[[38.946887953959774, -37.03058717902251, 0.0], [56.9831742933729, -19.531599999699456, 3.3939999999999997]]",0.8244060570141301
lot_2459,7082,12762,373,373,1.3183750010211952,0.1415798399830237,749708,373,373,378,224.85546875,ecb9451598d28c0c8efc8ebd32f9404aad8cfe36d21f1dc69c0c4959e7ac1cab,"[[88.68281415598602, 21.68911877568831, 0.0], [102.67688040391046, 34.18920000028798, 6.823]]",0.8055105560342781
