case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,validation_error,topology_violations
01_simple,1448,2460,124,124,0.22503166302340105,0.04737167101120576,150912,124,124,124,103.9921875,30c490d878f66f8e7273c40780170d185d2071443cfbe465f31be381c1a3d0bf,"[[-0.04, -0.25, 0.0], [10.04, 16.0, 6.17]]",,0
02_republicano,1926,3068,212,212,0.31811275699874386,0.0604562780354172,264904,212,212,212,108.01171875,44a32be27d6ca588d84843aec3b1baf8497853a629b338d204a3e20b8aac6945,"[[-0.04, -0.92, 0.0], [12.04, 15.0, 7.970000000000001]]",,0
03_galeria,1354,2176,148,148,0.22405561001505703,0.03965816803975031,187908,148,148,148,109.13671875,8aa67123209eb1512beb57039a7e4c5115d83930c667461bc52621ba2f7443b8,"[[-0.04, -1.2, 0.0], [11.04, 16.0, 7.17]]",,0
04_mixed,2210,3592,238,238,0.3567071490106173,0.0628640369977802,299012,238,238,238,109.13671875,f7be5c3a344580ae40069e3e67ef9be18226984c3cc17498286ce306b1ff4bb7,"[[-0.04, -1.0065657024968162, 0.0], [12.04, 18.0, 10.17]]",,0
05_setback,3696,6232,332,332,0.5761620360426605,0.09243802400305867,446424,332,332,332,111.51171875,8a77795845d06456c7b53b5eb6600a14d989dc7bd1ac7e8a9afb767aff0c981c,"[[0.0, 0.0, -0.12], [12.0, 20.0, 11.77]]",,0
lot_1850,1334,2088,149,149,0.2038895669975318,0.060132679995149374,193772,149,149,149,114.765625,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.168958765, 51.167676262, 6.775]]",,0
lot_1851,2912,4584,325,325,0.47328947199275717,0.08249712700489908,409260,325,325,325,114.890625,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.5769, 30.5927, 0.0], [46.0766, 48.369539819, 12.902000000000001]]",,0
lot_1849,4400,6904,497,497,0.7088371680001728,0.1181354530272074,616144,497,497,497,117.390625,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.947787486, -9.2191, 0.0], [58.9515, 55.547803523, 6.216]]",,0
lot_2451,7224,11320,836,836,1.0459746930282563,0.20902042998932302,1058660,836,836,836,122.625,aaaf10f2107fe78460e043e94171b76e16929d194cebbf28947e3ef8a9c6b9d8,"[[31.430136562, 63.80256683, 0.0], [56.7102, 88.845919694, 11.966000000000001]]",,0
lot_1843,5294,8308,611,611,0.9083082220167853,0.16406965599162504,785756,611,611,611,125.69140625,3c717190fbb665b653f0b7792cd5c0274ee409abf42e0247e2f3c50a562131db,"[[-24.7919, 49.334406327, 0.0], [18.097520915, 92.564606262, 6.168]]",,0
