case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,validation_error,topology_violations
01_simple,3002,5076,247,247,0.4799674400128424,0.07311797398142517,288592,247,247,247,222.6328125,30c490d878f66f8e7273c40780170d185d2071443cfbe465f31be381c1a3d0bf,"[[-0.04, -0.25, 0.0], [10.04, 16.0, 6.17]]",,0
02_republicano,3444,5380,393,393,0.5179303939803503,0.1316619730205275,486436,393,393,393,222.6328125,44a32be27d6ca588d84843aec3b1baf8497853a629b338d204a3e20b8aac6945,"[[-0.04, -0.92, 0.0], [12.04, 15.0, 7.970000000000001]]",,0
03_galeria,3026,4684,357,357,0.5183220870094374,0.13639519200660288,445304,357,357,357,222.6328125,8aa67123209eb1512beb57039a7e4c5115d83930c667461bc52621ba2f7443b8,"[[-0.04, -1.2, 0.0], [11.04, 16.0, 7.17]]",,0
04_mixed,4962,7720,582,582,0.7296668390044942,0.1395833170390688,724264,582,582,582,222.6328125,f7be5c3a344580ae40069e3e67ef9be18226984c3cc17498286ce306b1ff4bb7,"[[-0.04, -1.0065657024968162, 0.0], [12.04, 18.0, 10.17]]",,0
05_setback,6952,11116,739,739,0.9901488670147955,0.2112595880171284,946840,739,739,739,222.6328125,8a77795845d06456c7b53b5eb6600a14d989dc7bd1ac7e8a9afb767aff0c981c,"[[0.0, 0.0, -0.12], [12.0, 20.0, 11.77]]",,0
lot_1850,2164,3368,244,244,0.4302884619683027,0.06265568500384688,308852,244,244,244,222.6328125,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.168958765, 51.167676262, 6.775]]",,0
lot_1851,3290,5176,366,366,0.5870653190067969,0.12077619798947126,458444,366,366,366,222.6328125,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.5769, 30.5927, 0.0], [46.0766, 48.369539819, 12.902000000000001]]",,0
lot_1849,7728,11896,913,913,1.3076367159956135,0.21868557500420138,1131816,913,913,913,222.6328125,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.947787486, -9.2191, 0.0], [58.9515, 55.547803523, 6.216]]",,0
lot_2451,17528,26776,2124,2124,2.6132165170274675,0.5467275920091197,2651324,2124,2124,2124,222.6328125,aaaf10f2107fe78460e043e94171b76e16929d194cebbf28947e3ef8a9c6b9d8,"[[31.430136562, 63.80256683, 0.0], [56.7102, 88.845919694, 11.966000000000001]]",,0
lot_1843,11854,18148,1431,1431,1.7336825520033017,0.41809903702232987,1804152,1431,1431,1431,222.6328125,3c717190fbb665b653f0b7792cd5c0274ee409abf42e0247e2f3c50a562131db,"[[-24.7919, 49.334406327, 0.0], [18.097520915, 92.564606262, 6.168]]",,0
