case,semantic,triangles,components
01_simple,security_bar,2400,75
01_simple,curtain_fold,720,60
01_simple,security_crossbar,416,13
01_simple,structural_column,336,28
01_simple,slim_frame,192,6
01_simple,wall,168,4
01_simple,opening_reveal,144,12
01_simple,structural_beam,72,6
01_simple,parapet_cap,64,2
01_simple,glazing,60,5
01_simple,interior_backing,60,5
01_simple,slim_mullion,60,5
01_simple,slim_transom,60,5
01_simple,plinth,48,4
01_simple,door_raised_panel,36,3
01_simple,cornice_step,36,3
01_simple,downpipe_clamp,36,3
01_simple,downpipe,32,1
01_simple,parapet,32,1
01_simple,floor_slab,28,1
01_simple,top_cornice,28,1
01_simple,door_leaf,12,1
01_simple,door_handle,12,1
01_simple,cornice_drip,12,1
01_simple,roof_slab,12,1
02_republicano,shutter_slat,1248,104
02_republicano,security_bar,1160,80
02_republicano,security_crossbar,348,24
02_republicano,window_frame,336,28
02_republicano,structural_column,336,28
02_republicano,baluster,264,22
02_republicano,wall,208,4
02_republicano,opening_surround,168,14
02_republicano,material_coating,92,1
02_republicano,opening_lintel,84,7
02_republicano,window_panel,84,7
02_republicano,mullion,84,7
02_republicano,transom,84,7
02_republicano,window_sill,84,7
02_republicano,structural_beam,72,6
02_republicano,parapet_cap,64,2
02_republicano,cornice_drip,48,4
02_republicano,shutter_leaf,48,4
02_republicano,downpipe_clamp,48,4
02_republicano,plinth,48,4
02_republicano,pilaster_cap,40,2
02_republicano,balustrade_cap,40,2
02_republicano,door_raised_panel,36,3
02_republicano,cornice_step,36,3
02_republicano,slim_frame,32,1
02_republicano,downpipe,32,1
02_republicano,parapet,32,1
02_republicano,floor_slab,28,1
02_republicano,top_cornice,28,1
02_republicano,opening_reveal,24,2
02_republicano,pilaster_base,24,2
02_republicano,pilaster,24,2
02_republicano,balcony_slab,24,2
02_republicano,balustrade,24,2
02_republicano,door_leaf,12,1
02_republicano,door_handle,12,1
02_republicano,sill_band,12,1
02_republicano,roof_slab,12,1
03_galeria,shutter_slat,1512,126
03_galeria,baluster,744,62
03_galeria,curtain_fold,336,28
03_galeria,structural_column,336,28
03_galeria,wall,168,4
03_galeria,window_frame,144,12
03_galeria,slim_frame,96,3
03_galeria,awning_arm,88,4
03_galeria,material_coating,72,1
03_galeria,opening_reveal,72,6
03_galeria,opening_surround,72,6
03_galeria,gallery_post,72,6
