case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,validation_error,topology_violations
01_simple,2004,3404,166,166,0.3190705610322766,0.04717779200291261,197400,166,166,166,234.84375,30c490d878f66f8e7273c40780170d185d2071443cfbe465f31be381c1a3d0bf,"[[-0.04, -0.25, 0.0], [10.04, 16.0, 6.17]]",,0
02_republicano,2626,4128,297,297,0.4133216599584557,0.07551288796821609,369156,297,297,297,234.84375,44a32be27d6ca588d84843aec3b1baf8497853a629b338d204a3e20b8aac6945,"[[-0.04, -0.92, 0.0], [12.04, 15.0, 7.970000000000001]]",,0
03_galeria,2170,3400,250,250,0.39150153601076454,0.07264231605222449,313660,250,250,250,234.84375,8aa67123209eb1512beb57039a7e4c5115d83930c667461bc52621ba2f7443b8,"[[-0.04, -1.2, 0.0], [11.04, 16.0, 7.17]]",,0
04_mixed,3410,5392,388,388,0.857210480957292,0.1763201070134528,484088,388,388,388,234.84375,f7be5c3a344580ae40069e3e67ef9be18226984c3cc17498286ce306b1ff4bb7,"[[-0.04, -1.0065657024968162, 0.0], [12.04, 18.0, 10.17]]",,0
05_setback,4776,7852,467,467,0.7301191079895943,0.11269220401300117,612228,467,467,467,234.84375,8a77795845d06456c7b53b5eb6600a14d989dc7bd1ac7e8a9afb767aff0c981c,"[[0.0, 0.0, -0.12], [12.0, 20.0, 11.77]]",,0
lot_1850,1688,2656,190,190,0.2844060490024276,0.04889902001013979,242872,190,190,190,234.84375,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.168958765, 51.167676262, 6.775]]",,0
lot_1851,3208,5040,363,363,0.5683497869758867,0.10852447897195816,450856,363,363,363,234.84375,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.5769, 30.5927, 0.0], [46.0766, 48.369539819, 12.902000000000001]]",,0
lot_1849,5538,8736,628,628,0.9600050069857389,0.1538820739951916,781748,628,628,628,234.84375,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.947787486, -9.2191, 0.0], [58.9515, 55.547803523, 6.216]]",,0
lot_2451,10400,16420,1193,1193,1.5916948100202717,0.31143266800791025,1523936,1193,1193,1193,234.84375,aaaf10f2107fe78460e043e94171b76e16929d194cebbf28947e3ef8a9c6b9d8,"[[31.430136562, 63.80256683, 0.0], [56.7102, 88.845919694, 11.966000000000001]]",,0
lot_1843,6994,11052,802,802,1.025830018974375,0.2160005689947866,1033644,802,802,802,234.84375,3c717190fbb665b653f0b7792cd5c0274ee409abf42e0247e2f3c50a562131db,"[[-24.7919, 49.334406327, 0.0], [18.097520915, 92.564606262, 6.168]]",,0
