case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,topology_violations,append_s
lot_1850,1284,2040,142,142,0.2480255399714224,0.017924187995959073,124848,35,35,36,230.41015625,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.168958765, 51.167676262, 6.775]]",0,0.0035063090035691857
lot_1977,916,1488,95,95,0.17399962799390778,0.010666440997738391,91136,27,27,28,230.41015625,2d6e682f4cfee07ba7975de2ff38f701abf6d34d2111fc842b8476d312ccdd59,"[[17.8895, 45.0926, 0.0], [29.585049407, 57.2798, 3.468]]",0,0.005661449977196753
lot_1851,3028,4760,343,343,0.5278675429872237,0.018761779996566474,251572,33,33,34,230.41015625,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.5769, 30.5927, 0.0], [46.0766, 48.369539819, 12.902000000000001]]",0,0.008981072984170169
lot_1976,2854,4552,312,312,0.4652813900029287,0.01813338598003611,241848,35,35,36,230.41015625,3723fb5e6eb74fd00c74ba34fd115b6c945650f3adc05769baa4c331d2827f31,"[[31.596322036, 43.8425, 0.0], [46.588016901, 59.4959119, 6.634]]",0,0.013386484002694488
lot_1975,3222,5532,261,261,0.47734231100184843,0.018185931025072932,241048,22,22,23,230.41015625,864433043d6eef9e2f5d5d37eeaa64719f88f045de338e172afd7d77012a0f80,"[[23.7019, 52.374734981, 0.0], [36.42918997, 66.405803289, 9.271]]",0,0.014390267024282366
lot_1831,2046,3244,233,233,0.3769683680147864,0.01868723501684144,180072,31,31,32,230.41015625,02ec3fc47cda0c344445741a489ec4d855b8318ced4767a2016a56685d5b0ca2,"[[11.206924278, 49.8425, 0.0], [23.7019, 62.728716415, 9.292]]",0,0.020014544017612934
lot_1980,1752,2744,200,200,0.29263287503272295,0.015292721043806523,160640,35,35,36,230.41015625,dd6d9b0a61ffa507633c7436d5ffc940ca3611098b4d39625c095ad561cf0d6f,"[[39.3267, 38.0302, 0.0], [53.386220849, 53.1199085, 6.346]]",0,0.020939071953762323
lot_1973,1280,2108,128,128,0.19414126401534304,0.012776390998624265,115696,27,27,28,230.41015625,fca849ccce354e7849ea00662a07d85defb662c1189f2b4c536e22ad98a5d5f7,"[[17.625133618, 57.2798, 0.0], [30.995308862, 71.183304893, 3.522]]",0,0.022715809987857938
lot_1849,4258,6816,468,468,0.7417802389827557,0.022679216985125095,339380,31,31,32,230.41015625,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.947787486, -9.2191, 0.0], [58.9515, 55.547803523, 6.216]]",0,0.030553619959391654
lot_1832,2706,4232,311,311,0.44600927201099694,0.01783760596299544,228064,35,35,36,230.41015625,6d10a0ca971ca7aa97e39d9d120f32c4979eab12429fdd81073a00e899cda3ef,"[[40.2642, 24.6553, 0.0], [60.792019106, 47.266410001, 9.68]]",0,0.03153601702069864
lot_1983,3668,5684,429,429,0.6292850199970417,0.0202088329824619,296884,35,35,36,230.41015625,89b3df9e6d8400df253945d11f22b8169fa81ed67d5f32c1b5b41d919c7e75ac,"[[-6.292065111, 19.2803, 0.0], [18.827, 41.218289709, 12.948]]",0,0.035450820985715836
lot_1984,2134,3296,256,256,0.3893583599710837,0.014124956971500069,175796,25,25,26,230.41015625,a6c3738ba19b1bc069177eddf419e9a21212ea31c04238aa9f504c4be3f51db6,"[[47.1704, 21.718, 0.0], [64.077819095, 40.768563815, 15.426]]",0,0.03913715202361345
lot_1989,1474,2360,156,156,0.2508829419966787,0.011544471024535596,132228,27,27,28,230.41015625,2fcbff31c27101b7fd50c74c479ef6900c57b29c951d59f33583e2051280ce0a,"[[-11.850466636, 11.468, 0.0], [17.9521, 34.695387933, 3.598]]",0,0.03781622200040147
lot_1987,4488,7600,387,387,0.6569567430415191,0.022443560999818146,322600,22,22,23,230.41015625,f8d61390c405475c1af7041f9fdca02769203d241b5a5903a6bcae539b54cd27,"[[50.5766, 12.9055, 0.0], [75.155821341, 37.819250332, 12.120000000000001]]",0,0.046687274996656924
lot_2000,3184,5280,299,299,0.5342708629905246,0.016143181012012064,237492,22,22,23,230.41015625,7a0135f4129b1c672caafb35ca00b9b699a6ad54ef258dde1be1b3dcfc882a82,"[[-2.561010394, -2.724528144, 0.0], [15.4521, 16.1553, 12.545]]",0,0.04442981898318976
lot_1993,1542,2456,174,174,0.26241697097430006,0.013967291044536978,141156,31,31,32,230.41015625,8dfc11c4b7c73bf8d9548e3544e36b8050e7262b65dbd3a79f567bfd9f355539,"[[-17.08138583, 14.2804, 0.0], [-2.5789999999999997, 28.388005337, 8.969]]",0,0.05211805400904268
lot_1997,1884,3076,199,199,0.36342301103286445,0.01289434899808839,164852,24,24,25,230.41015625,1ebaece50625cb2c90456dd383952414c01f12d70d8ba7364e528343a67d548e,"[[-20.330890279, 2.743706006, 0.0], [8.6396, 22.590200462, 3.441]]",0,0.04757783201057464
lot_2002,3014,4868,335,335,0.5492785790120251,0.01960535702528432,245480,25,25,26,230.41015625,4079f062567e29eb9d5db99bc5f1a638ec8169f9b54f03f7fe0449aabbf3c860,"[[4.196709731, -14.513470732, 0.0], [29.4831, 10.343, 9.671000000000001]]",0,0.05232502898434177
lot_1992,1136,1868,112,112,0.18395773402880877,0.00987901201006025,99884,22,22,23,230.41015625,d1c586503f6e4673ed50097926c580dfddcb77ab62202d48ed4b436279a0bec8,"[[67.0451, 15.2181, 0.0], [79.250124215, 28.258347857, 6.437]]",0,0.09200803597923368
lot_1999,3846,6556,323,323,0.6112904819892719,0.021043037995696068,282872,22,22,23,230.41015625,74165daa532f5c06a19f81b9493a03d22bf871d9b9923045031d5c8b8d6c9e12,"[[46.1705, -16.506202967, 0.0], [83.618774514, 18.968, 6.598]]",0,0.08603230601875111
