case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,topology_violations,append_s
lot_1850,1688,2656,190,190,0.2451367829926312,0.06225586700020358,242356,190,190,190,1375.17578125,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.168958765, 51.167676262, 6.775]]",0,0.011978833004832268
lot_1977,998,1616,104,104,0.15251665300456807,0.0260274350293912,139920,104,104,104,1375.17578125,2d6e682f4cfee07ba7975de2ff38f701abf6d34d2111fc842b8476d312ccdd59,"[[17.8895, 45.0926, 0.0], [29.585049407, 57.2798, 3.468]]",0,0.018903176009189337
lot_1851,3208,5040,363,363,0.5241022270056419,0.08417840098263696,451372,363,363,363,1375.17578125,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.5769, 30.5927, 0.0], [46.0766, 48.369539819, 12.902000000000001]]",0,0.04384953301632777
lot_1976,3880,6116,434,434,0.549972239008639,0.10244131198851392,547496,434,434,434,1375.17578125,3723fb5e6eb74fd00c74ba34fd115b6c945650f3adc05769baa4c331d2827f31,"[[31.596322036, 43.8425, 0.0], [46.588016901, 59.4959119, 6.634]]",0,0.0932631500181742
lot_1975,4616,7868,374,374,0.522730081982445,0.10488684696611017,453840,374,374,374,1375.17578125,864433043d6eef9e2f5d5d37eeaa64719f88f045de338e172afd7d77012a0f80,"[[23.7019, 52.374734981, 0.0], [36.42918997, 66.405803289, 9.271]]",0,0.1319490720052272
lot_1831,3110,4840,366,366,0.4498715359950438,0.08955491700908169,463796,366,366,366,1375.17578125,02ec3fc47cda0c344445741a489ec4d855b8318ced4767a2016a56685d5b0ca2,"[[11.206924278, 49.8425, 0.0], [23.7019, 62.728716415, 9.292]]",0,0.11851407698122784
lot_1980,2164,3372,249,249,0.3396307759685442,0.07482004701159894,313392,249,249,249,1375.17578125,dd6d9b0a61ffa507633c7436d5ffc940ca3611098b4d39625c095ad561cf0d6f,"[[39.3267, 38.0302, 0.0], [53.386220849, 53.1199085, 6.346]]",0,0.13259262999054044
lot_1973,1520,2488,153,153,0.22045622899895534,0.04515491600614041,197188,153,153,153,1375.17578125,fca849ccce354e7849ea00662a07d85defb662c1189f2b4c536e22ad98a5d5f7,"[[17.625133618, 57.2798, 0.0], [30.995308862, 71.183304893, 3.522]]",0,0.1675969089847058
lot_1849,5538,8736,628,628,0.8394907459733076,0.16472561098635197,781748,628,628,628,1375.17578125,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.947787486, -9.2191, 0.0], [58.9515, 55.547803523, 6.216]]",0,0.2086279330542311
lot_1832,3568,5540,415,415,0.5232386350398883,0.10817794100148603,511084,415,415,415,1375.17578125,6d10a0ca971ca7aa97e39d9d120f32c4979eab12429fdd81073a00e899cda3ef,"[[40.2642, 24.6553, 0.0], [60.792019106, 47.266410001, 9.68]]",0,0.25615113601088524
lot_1983,4824,7428,571,571,0.7062316829687916,0.12832765898201615,702308,571,571,571,1375.17578125,89b3df9e6d8400df253945d11f22b8169fa81ed67d5f32c1b5b41d919c7e75ac,"[[-6.292065111, 19.2803, 0.0], [18.827, 41.218289709, 12.948]]",0,0.2749701120192185
