case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,validation_error,topology_violations
01_simple,2616,4412,220,220,0.35288968798704445,0.05712223699083552,259740,220,220,220,238.03125,30c490d878f66f8e7273c40780170d185d2071443cfbe465f31be381c1a3d0bf,"[[-0.04, -0.25, 0.0], [10.04, 16.0, 6.17]]",,0
02_republicano,3296,5148,377,377,0.5460237949737348,0.12256808899110183,466748,377,377,377,238.03125,44a32be27d6ca588d84843aec3b1baf8497853a629b338d204a3e20b8aac6945,"[[-0.04, -0.92, 0.0], [12.04, 15.0, 7.970000000000001]]",,0
03_galeria,2986,4624,352,352,0.6014471849775873,0.14150118094403297,439192,352,352,352,238.03125,8aa67123209eb1512beb57039a7e4c5115d83930c667461bc52621ba2f7443b8,"[[-0.04, -1.2000000000000002, 0.0], [11.04, 16.0, 7.17]]",,0
04_mixed,4418,6904,514,514,0.7563589530182071,0.16645252099260688,640336,514,514,514,238.03125,f7be5c3a344580ae40069e3e67ef9be18226984c3cc17498286ce306b1ff4bb7,"[[-0.04, -1.0065657024968162, 0.0], [12.04, 18.0, 10.17]]",,0
05_setback,6240,10048,650,650,1.0162780169630423,0.19702951499493793,837188,650,650,650,238.03125,8a77795845d06456c7b53b5eb6600a14d989dc7bd1ac7e8a9afb767aff0c981c,"[[0.0, 0.0, -0.12], [12.0, 20.0, 11.77]]",,0
lot_1850,2078,3230,235,235,0.3439447160344571,0.06382610398577526,298800,235,235,235,238.03125,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.16895876457854, 51.167676262170765, 6.775]]",,1
lot_1851,3182,5004,355,355,0.5955349240102805,0.10673888999735937,445632,355,355,355,238.03125,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.5769, 30.5927, 0.0], [46.0766, 48.369539818887546, 12.902000000000001]]",,0
lot_1849,7134,11014,835,835,1.2850794870173559,0.25549023604253307,1037892,835,835,835,238.03125,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.9477874862113567, -9.2191, 0.0], [58.9515, 55.54780352269812, 6.216]]",,4
lot_2451,15462,23680,1865,1865,2.5697386249667034,0.534152815991547,2331608,1865,1865,1865,238.03125,aaaf10f2107fe78460e043e94171b76e16929d194cebbf28947e3ef8a9c6b9d8,"[[31.43013656184248, 63.802566829506134, 0.0], [56.7102, 88.84591969409173, 11.966000000000001]]",,1
lot_1843,10444,16034,1254,1254,1.711123748042155,0.34416579897515476,1583612,1254,1254,1254,238.03125,3c717190fbb665b653f0b7792cd5c0274ee409abf42e0247e2f3c50a562131db,"[[-24.7919, 49.334406327462766, 0.0], [18.097520914777004, 92.56460626225505, 6.168]]",,1
