case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,validation_error,topology_violations
01_simple,2624,4428,220,220,0.3530032929847948,0.07148559199413285,260064,220,220,220,209.18359375,30c490d878f66f8e7273c40780170d185d2071443cfbe465f31be381c1a3d0bf,"[[-0.04, -0.25, 0.0], [10.04, 16.0, 6.17]]",,0
02_republicano,3192,5052,356,356,0.426123266981449,0.11200364003889263,446868,356,356,356,209.18359375,44a32be27d6ca588d84843aec3b1baf8497853a629b338d204a3e20b8aac6945,"[[-0.04, -0.92, 0.0], [12.04, 15.0, 7.970000000000001]]",,0
03_galeria,2946,4592,343,343,0.4308362029842101,0.1126832400332205,430692,343,343,343,209.18359375,8aa67123209eb1512beb57039a7e4c5115d83930c667461bc52621ba2f7443b8,"[[-0.04, -1.2000000000000002, 0.0], [11.04, 16.0, 7.17]]",,0
04_mixed,4426,6920,514,514,0.6202264729654416,0.16016584204044193,640656,514,514,514,209.18359375,f7be5c3a344580ae40069e3e67ef9be18226984c3cc17498286ce306b1ff4bb7,"[[-0.04, -1.0065657024968162, 0.0], [12.04, 18.0, 10.17]]",,0
05_setback,6240,10048,650,650,0.9195955909672193,0.16705769003601745,837188,650,650,650,209.18359375,8a77795845d06456c7b53b5eb6600a14d989dc7bd1ac7e8a9afb767aff0c981c,"[[0.0, 0.0, -0.12], [12.0, 20.0, 11.77]]",,0
lot_1850,1882,3006,202,202,0.35247554699890316,0.06992380804149434,259232,202,202,202,209.18359375,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.16895876457854, 51.167676262170765, 6.775]]",Geometry outside cadastral envelope,1
lot_1851,2952,4784,310,310,0.5143297709873877,0.0712608810281381,395420,310,310,310,209.18359375,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.47083101478059, 30.5927, 0.0], [46.0766, 48.369539818887546, 12.902000000000001]]",Geometry outside cadastral envelope,0
lot_1849,6662,10558,742,742,0.8506007340038195,0.1835715029737912,938100,742,742,742,209.18359375,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.9477874862113567, -9.2191, 0.0], [58.9515, 55.54780352269812, 6.216]]",Geometry outside cadastral envelope,4
lot_2451,14970,23380,1742,1742,1.7539152670069598,0.42657708999468014,2211056,1742,1742,1742,209.18359375,aaaf10f2107fe78460e043e94171b76e16929d194cebbf28947e3ef8a9c6b9d8,"[[31.43013656184248, 63.802566829506134, 0.0], [56.7102, 88.84591969409173, 11.966000000000001]]",Geometry outside cadastral envelope,1
lot_1843,10128,16062,1146,1146,1.2375756909605116,0.269593235978391,1483416,1146,1146,1146,223.14453125,3c717190fbb665b653f0b7792cd5c0274ee409abf42e0247e2f3c50a562131db,"[[-24.7919, 49.334406327462766, 0.0], [18.097520914777004, 92.56460626225505, 6.168]]",Geometry outside cadastral envelope,1
