case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,validation_error,topology_violations
01_simple,2004,3404,166,166,0.3173458019737154,0.04720818600617349,197320,166,166,166,222.921875,30c490d878f66f8e7273c40780170d185d2071443cfbe465f31be381c1a3d0bf,"[[-0.04, -0.25, 0.0], [10.04, 16.0, 6.17]]",,0
02_republicano,2626,4128,297,297,0.4577058259746991,0.08276596298674121,369076,297,297,297,222.921875,44a32be27d6ca588d84843aec3b1baf8497853a629b338d204a3e20b8aac6945,"[[-0.04, -0.92, 0.0], [12.04, 15.0, 7.970000000000001]]",,0
03_galeria,2170,3400,250,250,0.4170499510364607,0.08307630999479443,313580,250,250,250,222.921875,8aa67123209eb1512beb57039a7e4c5115d83930c667461bc52621ba2f7443b8,"[[-0.04, -1.2, 0.0], [11.04, 16.0, 7.17]]",,0
04_mixed,3410,5392,388,388,0.6343414630391635,0.11002520896727219,484008,388,388,388,222.921875,f7be5c3a344580ae40069e3e67ef9be18226984c3cc17498286ce306b1ff4bb7,"[[-0.04, -1.0065657024968162, 0.0], [12.04, 18.0, 10.17]]",,0
05_setback,4776,7852,467,467,0.8275067700305954,0.12633481400553137,612148,467,467,467,222.921875,8a77795845d06456c7b53b5eb6600a14d989dc7bd1ac7e8a9afb767aff0c981c,"[[0.0, 0.0, -0.12], [12.0, 20.0, 11.77]]",,0
lot_1850,1738,2704,197,197,0.3496273829950951,0.05702828802168369,252128,197,197,197,222.921875,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.168958765, 51.167676262, 6.775]]",,0
lot_1851,3092,4864,345,345,0.6136476079700515,0.12298903201008216,433336,345,345,345,222.921875,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.5769, 30.5927, 0.0], [46.0766, 48.369539819, 12.902000000000001]]",,0
lot_1849,5680,8824,657,657,1.1086269380175509,0.21489420399302617,814552,657,657,657,222.921875,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.947787486, -9.2191, 0.0], [58.9515, 55.547803523, 6.216]]",,0
lot_2451,10856,16768,1290,1290,1.8475809710216708,0.3698450209922157,1619372,1290,1290,1290,222.921875,aaaf10f2107fe78460e043e94171b76e16929d194cebbf28947e3ef8a9c6b9d8,"[[31.430136562, 63.80256683, 0.0], [56.7102, 88.845919694, 11.966000000000001]]",,0
lot_1843,7086,10996,835,835,1.166757537983358,0.24336759804282337,1063628,835,835,835,222.921875,3c717190fbb665b653f0b7792cd5c0274ee409abf42e0247e2f3c50a562131db,"[[-24.7919, 49.334406327, 0.0], [18.097520915, 92.564606262, 6.168]]",,0
